種類,音,番号,レベル1,レベル2,レベル3
単語,あ,1,あか,ドア,コアラ
単語,あ,2,あさ,ペア,しあい
単語,あ,3,あし,レア,てあて
単語,あ,4,あな,クリア,にあう
単語,あ,5,あめ,ココア,ピアノ
単語,あ,6,アイス,ストア,かけあし
単語,あ,7,あくび,イタリア,からあげ
単語,あ,8,あした,エクレア,しあわせ
単語,あ,9,あたま,パパイア,たこあげ
単語,あ,10,あひる,ババロア,みずあび
単語,あ,11,あいさつ,インテリア,さかあがり
単語,あ,12,あさがお,フリージア,さつまあげ
単語,あ,13,アルバム,スキーウェア,できあがり
単語,あ,14,あまのがわ,ボランティア,ドライアイス
単語,あ,15,あとかたづけ,サービスエリア,まちあいしつ
短文,あ,1,ドアを あける,,
短文,あ,2,あした あそぶ,,
短文,あ,3,あかい えんぴつを あげる,,
短文,あ,4,あまい アイス,,
短文,あ,5,コアラの あくび,,
短文,あ,6,あわてて ドアを あける,,
短文,あ,7,あした あのこうえんで あそぶ,,
短文,あ,8,あかと あおの えんぴつを あげる,,
短文,あ,9,あまい アイスと エクレア,,
短文,あ,10,あそこの コアラが あくびする,,
短文,あ,11,あわてて まちあいしつの ドアを あける,,
短文,あ,12,あした あのこうえんで あなたと あそびたい,,
短文,あ,13,あかと あおの えんぴつを あのこに あげる,,
短文,あ,14,あそこの ストアで アイスと エクレアを かう,,
短文,あ,15,あそこの あわてんぼうの コアラが あくびする,,
単語,い,1,いえ,かい,あいて
単語,い,2,いか,こい,クイズ
単語,い,3,いし,パイ,すいか
単語,い,4,いす,あまい,たいこ
単語,い,5,いぬ,せかい,マイク
単語,い,6,いちご,におい,あいさつ
単語,い,7,いつも,はやい,かいだん
単語,い,8,いなか,やさい,さいころ
単語,い,9,いのち,あじさい,だいこん
単語,い,10,いるか,おしまい,ライオン
単語,い,11,いちばん,こうたい,こいのぼり
単語,い,12,いのしし,てつだい,すいようび
単語,い,13,いりぐち,おもしろい,ほいくえん
単語,い,14,いただきます,かみしばい,カレーライス
単語,い,15,インターネット,うんどうかい,サンドイッチ
短文,い,1,きいろの いと,,
短文,い,2,かいものに いく,,
短文,い,3,あかい いちご,,
短文,い,4,イルカショーを みにいく,,
短文,い,5,いもうとの たいこ,,
短文,い,6,きいろい いと,,
短文,い,7,いっしょに かいものに いく,,
短文,い,8,あかい いちごが いっぱい,,
短文,い,9,おもしろい イルカショーを みにいく,,
短文,い,10,いもうとが たいこを たたいた,,
短文,い,11,きいろい いとが いちばん すき,,
短文,い,12,いつも いっしょに かいものに いく,,
短文,い,13,あかい いちごは あまいので いっぱい たべる,,
短文,い,14,すいようび おもしろい イルカショーを みにいく,,
短文,い,15,かわいい いもうとが たいこを たたいた,,
単語,う,1,うえ,あう,こうま
単語,う,2,うし,かう,たうえ
単語,う,3,うた,そう,ねうち
単語,う,4,うま,ぬう,しまうま
単語,う,5,うみ,あらう,とびうお
単語,う,6,うがい,おもう,はちうえ
単語,う,7,うさぎ,かよう,ブラウス
単語,う,8,うしろ,さそう,みずうみ
単語,う,9,うちわ,つかう,アナウンス
単語,う,10,うどん,らいう,こもりうた
単語,う,11,うぐいす,あじわう,しろうさぎ
単語,う,12,うたごえ,おこなう,アナウンサー
単語,う,13,うれしい,てつだう,うちゅうせん
単語,う,14,うえきばち,たすけあう,てうちうどん
単語,う,15,うんてんしゅ,はなしあう,なみうちぎわ
短文,う,1,うさぎの もよう,,
短文,う,2,うどんは うまい,,
短文,う,3,うたを ならう,,
短文,う,4,うまと うし,,
短文,う,5,たうえを てつだう,,
短文,う,6,うさぎの もようの ブラウス,,
短文,う,7,てうちの うどんは うまい,,
短文,う,8,うたを うたう,,
短文,う,9,うまと うしと うさぎ,,
